decile,count,defaults,avg_score,default_rate,cum_defaults,cum_default_pct
10,11881,5644,0.47265634118680594,0.4750441881996465,5644,0.24221096901553515
9,11881,4054,0.3350429533023973,0.34121706927026346,9698,0.41618745172088234
8,11881,3194,0.2654270788031124,0.2688325898493393,12892,0.5532572311389581
7,11881,2572,0.21765825978021297,0.21648009426815926,15464,0.6636340228306583
6,11880,2136,0.18032596784201185,0.1797979797979798,17600,0.7552999742511373
5,11881,1736,0.15025893965058895,0.14611564683107484,19336,0.8298000171659085
4,11881,1437,0.12411841616349205,0.12094941503240468,20773,0.8914685434726632
3,11881,1185,0.09883444686815276,0.09973907920208737,21958,0.9423225474208222
2,11881,885,0.07251679307961835,0.07448867940409057,22843,0.9803021199897004
1,11881,459,0.03962819924315485,0.038633111690935105,23302,1.0
